"comicName","comicSummary","comicGrade"
"위닝샷!","청춘 야구 드라마","9.77"
"우리 카페 사장님이 이상하다","이상한 카페 알바기","9.90"
"포로롱 포롱","수인들의 학교생활","9.86"
"소극적 인간","드라마 스릴러","9.65"
"우당탕 입큰이","입이 커 슬픈 짐승","9.54"
"이세계 국밥 마스터","그 돈이면 국밥먹지","9.56"
"눈치없는 내 친구!","청춘 캠퍼스 개그물","9.80"
"닐리리맘봉","맘봉이의 하루하루","9.89"
"여우자매","구미호 이야기","9.90"
"[BL] HOLY JUNK","두 사람의 삶","9.54"
"자작 보드게임 동아리","자작 보드게임 만화","9.78"
"소피아가 머리카락을 쓸어넘길 때","학원 일상 추리","9.90"
"서유신마록","삼장과오공의대모험극","9.58"
"질주","초능력 판타지","9.61"
"사장님은 떡뽀끼!","분식집 일상물","9.67"
"드래곤메이커","용키우는만화","9.88"
"판타지 TV","판타지 인터넷방송","9.67"
"기억 속 너에게","메르와 루의 이야기","8.87"
"손 안의 너","정체불명 미니사이즈","9.86"
"아틀레냐 비바체","치유계 개그물","9.86"
"이승전결","영적장애 저승사자","9.57"
"홈 스윗 홈","네식구 사는 이야기","9.85"
"픽셔너","그들의 이상한 일상","9.64"
"의대생 하루","의대생의 리얼 일상","9.12"
"여름에 내리는 서리","2025.08.28","9.09"
"정의를 위한 나라","소년판타지좀비아포","9.09"
"아타나시아","마법과 불사","9.61"
"좀비랜드","좀비랜드 탈출기","9.60"
"치즈범벅","치즈고양이형제 일상","9.84"
"미치광이 맥","심부름꾼의 이야기","9.76"
"전지적덕후시점","나의 덕질 라이프","9.65"
"빨간맛 로맨스","미치도록 달콤한","9.87"
"식봉툰","일상적인 이야기","8.72"
"리드래프트","야구에 만약이있다면","9.85"
"나부활","나는사람을살릴수있다","9.83"
"만화 임진왜란","쉽고 웃긴 임진왜란","9.76"
"불손한 친구들","불손한친구들 이야기","9.72"
"케어시트","청춘 동아리 로맨스","9.57"
